,age,workclass,education,marital-status,race,sex,native-country
783,11-90, employed, US, Married-civ-spouse, White, Male, United-States
735,43-50, workclass, GS, Divorced, White, Male, United-States
785,43-50, workclass, GS, Divorced, White, Male, United-States
734,43-50, Private, US, Married-civ-spouse, White, Male, country
792,43-50, Private, US, Married-civ-spouse, White, Male, country
701,59-66, Local-gov, US, marital_status, White, Female, United-States
774,59-66, Local-gov, US, marital_status, White, Female, United-States
777,27-42, Local-gov, US, alone, White, Female, United-States
787,27-42, Local-gov, US, alone, White, Female, United-States
713,27-42, Private, GS, marital_status, White, Female, United-States
754,27-42, Private, GS, marital_status, White, Female, United-States
723,27-42, Private, US, Divorced, white-or-black, Female, United-States
738,27-42, Private, US, Divorced, white-or-black, Female, United-States
706,27-42, workclass, US, Married, White, Male, United-States
794,27-42, workclass, US, Married, White, Male, United-States
781,11-90, Private, GS, alone, White, Female, United-States
782,11-90, Private, GS, alone, White, Female, United-States
707,11-58, employed, US, Married, White, Female, Eu
748,11-58, employed, US, Married, White, Female, Eu
715,11-58, workclass, GS, alone, White, Male, Na
733,11-58, workclass, GS, alone, White, Male, Na
711,11-58, Private, education, alone, White, Male, Na
725,11-58, Private, education, alone, White, Male, Na
703,11-58, employed, education, Married, White, Male, Na
705,11-58, employed, education, alone, White, Female, Na
708,11-58, employed, education, alone, White, Female, Na
793,11-58, employed, education, Married, White, Male, Na
730,11-58, employed, US, alone, white-or-black, Male, Na
762,11-58, employed, US, alone, white-or-black, Male, Na
702,11-90, workclass, education, alone, White, Male, country
737,11-90, workclass, education, alone, White, Male, country
722,11-90, workclass, education, marital_status, human, Human, country
763,11-90, workclass, education, marital_status, human, Human, country
