,age,workclass,education,marital-status,race,sex,native-country
936,35-42, Private, GS, Married-civ-spouse, White, Male, United-States
988,43-50, State-gov, GS, Married-civ-spouse, White, Female, United-States
994,43-50, State-gov, GS, Married-civ-spouse, White, Female, United-States
946,51-58, Private, HS-grad, Married-civ-spouse, White, Male, country
977,51-58, Private, HS-grad, Married-civ-spouse, White, Male, country
922,11-90, Private, US, Never-married, White, Male, United-States
926,11-90, Private, US, Never-married, White, Male, United-States
943,27-42, Private, education, Separated, White, Female, United-States
978,27-42, Private, education, Separated, White, Female, United-States
957,11-58, Private, US, Never-married, Black, Female, United-States
991,11-58, Private, US, Never-married, Black, Female, United-States
966,43-58, Self-emp-not-inc, US, Married-civ-spouse, White, Male, Na
968,43-58, Self-emp-not-inc, US, Married-civ-spouse, White, Male, Na
905,11-90, Self-emp-not-inc, US, Never-married, White, Male, United-States
990,11-90, Self-emp-not-inc, US, Never-married, White, Male, United-States
961,27-42, Private, US, Divorced, White, Male, country
969,27-42, Private, US, Divorced, White, Male, country
958,43-58, Private, US, alone, White, Female, United-States
995,43-58, Private, US, alone, White, Female, United-States
904,11-58, Private, GS, alone, White, Female, United-States
918,11-58, Private, GS, alone, White, Male, United-States
933,11-58, Private, GS, alone, White, Male, United-States
984,11-58, Private, GS, alone, White, Female, United-States
900,11-58, State-gov, GS, marital_status, White, Male, United-States
906,11-58, Local-gov, US, marital_status, White, Male, United-States
951,11-58, State-gov, GS, marital_status, White, Male, United-States
998,11-58, Local-gov, US, marital_status, White, Male, United-States
912,11-58, Private, US, Never-married, White, Male, country
941,11-58, Private, US, Never-married, White, Male, country
924,11-58, gov, US, marital_status, White, Female, United-States
971,11-58, employed, HS, marital_status, White, Male, United-States
989,11-58, employed, HS, marital_status, White, Male, United-States
996,11-58, gov, US, marital_status, White, Female, United-States
901,11-90, employed, US, alone, Black, Female, United-States
945,11-90, employed, US, alone, Black, Female, United-States
955,11-90, employed, US, alone, Black, Female, United-States
949,11-58, employed, education, marital_status, Asian-Pac-Islander, Male, As
992,11-58, employed, education, marital_status, Asian-Pac-Islander, Male, As
919,11-90, workclass, education, alone, white-or-black, Male, Na
928,11-90, workclass, education, alone, white-or-black, Male, Na
931,11-90, workclass, education, marital_status, human, Human, country
948,11-90, workclass, education, marital_status, human, Human, country
