,age,workclass,education,marital-status,race,sex,native-country
692,43-58, Self-emp-not-inc, HS, Married-civ-spouse, white-or-black, Male, Na
602,27-42, gov, US, alone, White, Female, Na
697,27-42, gov, US, alone, White, Female, Na
617,43-58, gov, US, marital_status, White, Male, Na
635,43-58, gov, US, marital_status, White, Male, Na
610,11-90, employed, US, alone, White, Male, Na
625,11-90, employed, US, alone, White, Male, Na
636,11-90, employed, US, alone, Black, Female, Na
678,11-90, employed, US, alone, Black, Female, Na
629,11-58, workclass, US, alone, Black, Male, Na
651,11-58, workclass, US, alone, Black, Male, Na
606,11-58, employed, education, Married, White, Male, country
613,11-58, employed, education, alone, White, Female, country
627,11-58, employed, education, Married, White, Male, country
630,11-58, gov, education, alone, White, Female, country
642,11-58, employed, education, alone, White, Female, country
657,11-58, gov, education, alone, White, Female, country
611,11-58, workclass, education, alone, White, Male, Na
616,11-58, workclass, education, alone, White, Male, Na
604,11-90, workclass, education, alone, Asian-Pac-Islander, Female, country
672,11-90, workclass, education, alone, Asian-Pac-Islander, Female, country
601,11-90, workclass, education, marital_status, human, Human, country
690,11-90, workclass, education, marital_status, human, Human, country
