,age,workclass,education,marital-status,race,sex,native-country
237,31-34, Private, HS-grad, marital_status, White, Female, United-States
248,31-34, Private, HS-grad, marital_status, White, Female, United-States
202,35-42, Private, Bachelors, Married-civ-spouse, White, Male, country
220,35-42, Private, Bachelors, Married-civ-spouse, White, Male, country
201,43-50, Private, Assoc-acdm, alone, White, Female, United-States
285,43-50, Private, Assoc-acdm, alone, White, Female, United-States
204,19-26, Private, HS, marital_status, White, Male, United-States
205,11-90, Private, US, marital_status, White, Male, United-States
214,35-42, Private, US, marital_status, Black, Female, United-States
231,35-42, Private, US, marital_status, Black, Female, United-States
234,11-90, Private, US, marital_status, White, Male, United-States
244,19-26, Private, HS, marital_status, White, Male, United-States
200,11-90, Private, US, Never-married, Black, Male, United-States
206,11-90, Private, US, Never-married, Black, Male, United-States
217,11-90, Private, US, Never-married, White, Male, United-States
263,11-90, Private, US, Never-married, White, Male, United-States
235,35-42, employed, US, Married-civ-spouse, Asian-Pac-Islander, Male, As
245,35-42, employed, US, Married-civ-spouse, Asian-Pac-Islander, Male, As
258,19-26, Private, education, Married-civ-spouse, White, Female, Na
294,19-26, Private, education, Married-civ-spouse, White, Female, Na
251,43-58, workclass, GS, Married-civ-spouse, White, Male, Na
264,43-58, workclass, GS, Married-civ-spouse, White, Male, Na
221,11-58, gov, GS, Married-civ-spouse, White, Male, Na
225,11-58, gov, GS, Married-civ-spouse, White, Male, Na
218,59-90, workclass, US, Married-civ-spouse, White, Male, Na
293,59-90, workclass, US, Married-civ-spouse, White, Male, Na
273,11-58, Private, US, Never-married, human, Female, Na
279,11-58, Private, US, Never-married, human, Female, Na
208,11-58, gov, education, Never-married, White, Female, Na
219,11-58, gov, education, Never-married, White, Female, Na
261,11-58, employed, education, Divorced, Black, Female, Na
290,11-58, employed, education, Divorced, Black, Female, Na
224,11-58, employed, US, marital_status, White, Female, Na
275,11-58, employed, US, marital_status, White, Female, Na
213,11-58, employed, education, alone, white-or-black, Male, Na
239,11-58, employed, education, alone, white-or-black, Male, Na
216,11-58, employed, education, alone, human, Female, Na
238,11-58, employed, education, alone, human, Female, Na
211,59-90, employed, education, alone, White, Female, country
296,59-90, employed, education, alone, White, Female, country
282,11-58, employed, education, Married, Asian-Pac-Islander, Human, As
289,11-58, employed, education, Married, Asian-Pac-Islander, Human, As
233,11-90, workclass, education, marital_status, White, Male, country
268,11-90, workclass, education, marital_status, White, Male, country
